name,male,frequency_score
亜由美,0.071,0.747
ゆみこ,0.0,0.733
直行,1.0,0.718
哲哉,1.0,0.743
朱音,0.0,0.718
瑞生,0.781,0.776
留美子,0.0,0.708
菜央,0.0,0.718
和恵,0.0,0.718
孝司,1.0,0.717
マサヒロ,1.0,0.717
齋藤,0.556,0.717
文彦,0.812,0.754
智裕,0.846,0.741
牧子,0.0,0.731
真依,0.0,0.736
結衣,0.048,0.761
ケンジ,1.0,0.744
寛太,1.0,0.705
大野,0.556,0.715
優里,0.0,0.715
渡邉,0.875,0.704
ホセ,0.98,0.779
拓人,1.0,0.728
アンデルソン,1.0,0.722
由希,0.0,0.734
幸枝,0.0,0.751
リョウ,1.0,0.703
夕貴,0.125,0.703
菜々,0.0,0.733
拓矢,1.0,0.713
今井,0.75,0.72
のりこ,0.0,0.732
パトリシア,0.083,0.737
義雄,1.0,0.777
智彦,1.0,0.712
桃花,0.0,0.766
石原,0.5,0.702
龍二,1.0,0.726
琴美,0.0,0.711
伸治,1.0,0.726
きよみ,0.25,0.701
早紀,0.091,0.731
洋司,1.0,0.711
英司,1.0,0.719
麻子,0.316,0.752
健次,1.0,0.73
正雄,1.0,0.782
ゆうすけ,1.0,0.71
藤田,0.667,0.71
福田,0.806,0.766
大智,1.0,0.758
智行,1.0,0.744
厚子,0.0,0.709
健志,0.952,0.755
彰彦,1.0,0.709
知樹,1.0,0.709
ちあき,0.077,0.734
千明,0.545,0.729
悠希,0.7,0.723
憲司,1.0,0.698
かずき,0.8,0.74
和枝,0.0,0.716
実咲,0.091,0.722
真之介,1.0,0.716
健作,1.0,0.716
政彦,1.0,0.707
大河,1.0,0.732
昭子,0.0,0.715
アレックス,0.935,0.76
博史,1.0,0.707
彩佳,0.0,0.714
ジョージ,1.0,0.726
若菜,0.059,0.746
博久,1.0,0.696
正広,1.0,0.706
敏行,0.857,0.734
ユウキ,1.0,0.705
ユウジ,1.0,0.695
幸司,1.0,0.705
達彦,1.0,0.695
貴司,0.667,0.737
良介,1.0,0.713
直希,0.8,0.712
夏樹,0.455,0.718
奈緒,0.0,0.712
りえ,0.105,0.748
ゆうか,0.0,0.757
美江,0.111,0.743
勇二,1.0,0.693
絵里,0.083,0.723
隆宏,1.0,0.711
石井,0.667,0.703
利幸,1.0,0.711
利之,0.889,0.703
太田,0.875,0.703
川口,0.6,0.71
朱里,0.0,0.692
治子,0.111,0.702
浩美,0.125,0.692
映子,0.0,0.709
久恵,0.0,0.701
みわ,0.125,0.691
公美子,0.0,0.691
義治,1.0,0.701
明弘,1.0,0.736
千代子,0.0,0.701
智一,1.0,0.715
早希,0.0,0.69
友希,0.455,0.72
高志,1.0,0.708
愛梨,0.0,0.732
亜矢子,0.0,0.7
菊池,0.8,0.708
宗一郎,1.0,0.69
るみ,0.0,0.699
大助,0.909,0.714
悠斗,0.917,0.719
斉藤,0.75,0.689
正司,1.0,0.689
マルセロ,1.0,0.723
長谷川,0.75,0.689
真緒,0.0,0.689
ようこ,0.0,0.727
慎介,1.0,0.698
一哉,1.0,0.698
佳美,0.021,0.76
春花,0.045,0.77
智博,0.971,0.755
小野,0.7,0.744
アラン,0.923,0.746
秀平,0.235,0.763
貴明,1.0,0.751
哲司,1.0,0.682
こころ,0.077,0.724
康宏,1.0,0.702
将之,1.0,0.693
耕司,1.0,0.681
宏行,1.0,0.708
敦史,1.0,0.692
あいこ,0.0,0.744
美加,0.062,0.731
理絵,0.0,0.701
たまき,0.25,0.692
俊子,0.0,0.68
麻紀,0.0,0.754
佑輔,1.0,0.68
咲子,0.0,0.68
けいた,0.941,0.733
英二,1.0,0.691
龍彦,1.0,0.691
工藤,0.857,0.691
健児,1.0,0.69
松浦,0.667,0.699
武司,1.0,0.69
莉子,0.0,0.711
松永,0.556,0.698
京香,0.0,0.678
あさみ,0.053,0.734
奈緒子,0.0,0.677
カズ,0.8,0.704
あやこ,0.0,0.71
正輝,1.0,0.741
未央,0.0,0.714
祐哉,1.0,0.688
昭仁,0.952,0.737
杏子,0.037,0.745
清治,0.917,0.714
高木,0.667,0.696
晴菜,0.0,0.676
翔太郎,1.0,0.696
美菜,0.0,0.723
コウジ,1.0,0.695
徳子,0.0,0.686
山下,0.5,0.686
照美,0.0,0.695
竜二,1.0,0.686
まりあ,0.0,0.702
大志,0.96,0.739
ひなの,0.0,0.674
大知,1.0,0.701
真治,1.0,0.694
あやの,0.2,0.701
雄斗,1.0,0.674
雄司,1.0,0.685
さとう,0.25,0.685
勝巳,1.0,0.674
美保子,0.0,0.674
ヘレン,0.25,0.693
幸江,0.0,0.673
好子,0.0,0.673
かえで,0.214,0.718
渡邊,0.857,0.673
きょうこ,0.0,0.721
和雄,1.0,0.706
孝弘,1.0,0.684
浩介,1.0,0.672
富美子,0.0,0.684
和紀,1.0,0.683
のり,0.75,0.683
喜代美,0.0,0.672
照代,0.0,0.672
マイケル,0.962,0.736
ヒロミ,0.143,0.671
有里,0.0,0.671
雄太郎,1.0,0.682
柴田,0.714,0.671
翔也,1.0,0.682
玲央,1.0,0.671
夏帆,0.0,0.729
彩音,0.0,0.716
真里,0.222,0.691
航輝,1.0,0.67
まりこ,0.0,0.708
ルカス,1.0,0.67
雅夫,1.0,0.69
武士,0.917,0.711
愛海,0.0,0.67
陽太,1.0,0.697
千香子,0.0,0.68
泰生,1.0,0.702
芳美,0.1,0.727
光昭,1.0,0.695
涼平,1.0,0.71
菅原,0.5,0.679
ジョニー,1.0,0.716
由利子,0.0,0.695
杉本,0.571,0.679
マリナ,0.0,0.688
幹人,1.0,0.667
慎司,1.0,0.667
翔子,0.0,0.694
真由子,0.111,0.687
慶一,1.0,0.687
明里,0.0,0.7
しゅう,1.0,0.678
亜希,0.0,0.678
博明,0.812,0.717
幹夫,1.0,0.666
えいじ,1.0,0.666
ちえみ,0.0,0.666
雅博,1.0,0.677
翔一,1.0,0.693
和磨,1.0,0.666
エジソン,1.0,0.699
ますみ,0.0,0.677
達郎,1.0,0.685
孝太郎,1.0,0.665
敏一,1.0,0.665
伸彦,1.0,0.676
法子,0.0,0.71
ああ,0.4,0.692
新垣,0.833,0.665
知念,0.625,0.676
怜奈,0.0,0.676
友輔,1.0,0.664
江美,0.0,0.696
啓一,1.0,0.675
つかさ,0.75,0.675
正夫,1.0,0.683
セイジ,1.0,0.674
千晴,0.0,0.705
ヒデキ,1.0,0.663
義和,1.0,0.708
宏和,1.0,0.674
房子,0.0,0.663
真弥,0.5,0.662
圭一郎,1.0,0.674
やま,0.75,0.673
宏子,0.111,0.689
梨奈,0.0,0.681
みのる,0.857,0.661
メイ,0.214,0.709
マルシオ,1.0,0.672
アンドレ,1.0,0.688
敏之,0.5,0.711
里佳,0.0,0.68
琴音,0.056,0.715
つばさ,0.25,0.671
正昭,1.0,0.671
博幸,1.0,0.671
新田,0.778,0.68
晋也,1.0,0.692
泰雄,1.0,0.701
はじめ,0.75,0.671
コウ,0.667,0.659
美紗,0.077,0.704
一仁,1.0,0.696
リカ,0.111,0.679
川上,0.444,0.679
悠太郎,0.875,0.67
広樹,1.0,0.691
舞子,0.0,0.691
遠藤,0.875,0.669
義一,1.0,0.677
亜紀子,0.0,0.668
知美,0.0,0.69
尚樹,1.0,0.657
誠一郎,1.0,0.656
健悟,1.0,0.656
はるき,0.889,0.676
エレナ,0.0,0.704
浩太郎,1.0,0.667
夏海,0.083,0.697
直之,1.0,0.676
寛之,1.0,0.656
茂雄,1.0,0.718
峰子,0.125,0.682
歩美,0.0,0.688
三郎,1.0,0.697
隆子,0.0,0.655
郁夫,1.0,0.655
村上,0.714,0.666
しほ,0.1,0.681
麻里子,0.0,0.654
なおき,1.0,0.654
千穂,0.0,0.654
勝美,0.583,0.696
瑞紀,0.0,0.681
瑞樹,0.857,0.654
浩行,1.0,0.674
しゅん,1.0,0.704
沙羅,0.0,0.665
藤井,0.571,0.653
夕子,0.0,0.68
ゆりな,0.0,0.664
勇也,1.0,0.653
有希子,0.0,0.653
麻未,0.125,0.664
絵理,0.0,0.672
志穂,0.1,0.679
木下,0.444,0.672
孝太,1.0,0.663
優花,0.0,0.689
孝彦,1.0,0.663
賢司,1.0,0.671
ヒカル,0.538,0.692
良明,1.0,0.721
洋二,1.0,0.651
幸正,1.0,0.65
康一,1.0,0.67
武雄,1.0,0.725
博志,1.0,0.695
絵里香,0.0,0.661
洋一郎,1.0,0.65
マユミ,0.0,0.67
裕幸,1.0,0.669
弘毅,0.971,0.727
海翔,1.0,0.713
龍太,0.875,0.666
麗華,0.0,0.732
文香,0.057,0.719
良美,0.273,0.71
まちこ,0.0,0.642
康裕,1.0,0.705
友基,1.0,0.655
由里,0.125,0.664
敏郎,1.0,0.7
由起子,0.0,0.642
貴士,0.875,0.664
俊亮,1.0,0.704
よしみ,0.0,0.641
靖之,0.833,0.686
恭兵,1.0,0.64
やん,0.833,0.64
えり子,0.0,0.64
一喜,1.0,0.663
丈二,1.0,0.653
正男,0.963,0.712
拓朗,1.0,0.653
沙也加,0.143,0.652
松井,0.857,0.652
清一,1.0,0.652
謙吾,1.0,0.639
孝広,1.0,0.652
悠人,1.0,0.639
泰輔,1.0,0.651
しんご,0.846,0.687
啓吾,1.0,0.638
佑哉,1.0,0.638
由希子,0.0,0.638
水野,0.714,0.651
八千代,0.0,0.638
信夫,1.0,0.65
隆夫,1.0,0.637
怜央,0.857,0.65
たくや,1.0,0.695
タカシ,0.636,0.677
政子,0.0,0.636
慎平,1.0,0.636
ヒデアキ,1.0,0.666
裕史,1.0,0.649
俊行,1.0,0.681
朝香,0.143,0.649
裕次郎,1.0,0.636
昭彦,1.0,0.666
安部,0.5,0.635
早織,0.0,0.648
光彦,1.0,0.635
祐太郎,1.0,0.635
るみ子,0.0,0.648
佳苗,0.0,0.679
玲菜,0.0,0.686
登美子,0.167,0.634
きらら,0.0,0.634
よしき,0.815,0.704
明宏,0.973,0.717
琢磨,1.0,0.664
千愛,0.0,0.633
まこ,0.125,0.656
敏幸,0.889,0.663
裕一郎,1.0,0.633
ゆきえ,0.0,0.655
昌代,0.143,0.646
信彦,1.0,0.662
なるみ,0.0,0.662
敦也,1.0,0.632
そら,0.692,0.686
てつや,0.917,0.677
あきひろ,1.0,0.654
ハル,0.667,0.631
知里,0.0,0.631
勇貴,1.0,0.631
優二,1.0,0.631
ケイコ,0.0,0.661
りゅう,0.8,0.63
アンドレア,0.1,0.693
ジョン,1.0,0.708
啓司,1.0,0.643
竜馬,0.889,0.66
まほ,0.0,0.63
ほのか,0.143,0.652
貴美子,0.0,0.652
雅幸,0.75,0.652
秀太,1.0,0.652
真里奈,0.0,0.651
日向,0.5,0.68
百恵,0.0,0.651
浩樹,1.0,0.651
真穂,0.0,0.641
優人,1.0,0.628
浩章,0.917,0.673
恵一,1.0,0.658
たなか,0.625,0.65
わたる,1.0,0.641
史也,1.0,0.64
みさき,0.0,0.687
幸大,1.0,0.627
一将,1.0,0.627
俊郎,1.0,0.683
清隆,1.0,0.681
輝明,0.957,0.693
剛司,0.75,0.649
まさし,1.0,0.626
昌樹,0.875,0.649
航太,1.0,0.626
寛大,1.0,0.626
ゆうや,1.0,0.667
松村,0.889,0.656
誠治,1.0,0.638
ヨウ,0.571,0.638
孝幸,1.0,0.625
とし,1.0,0.647
ともえ,0.0,0.637
幸生,0.556,0.66
志織,0.0,0.624
二郎,1.0,0.675
伸之,1.0,0.637
義久,1.0,0.624
康生,1.0,0.675
マルコス,1.0,0.668
俊治,1.0,0.623
昭雄,1.0,0.685
吉彦,1.0,0.636
アヤ,0.0,0.659
真悟,1.0,0.623
健太朗,1.0,0.635
寛明,1.0,0.622
由布子,0.0,0.652
藤本,0.778,0.652
梨絵,0.0,0.651
幸弘,1.0,0.634
竜太郎,1.0,0.621
紗希,0.0,0.621
有紀子,0.0,0.621
実穂,0.0,0.662
大誠,1.0,0.656
裕文,0.861,0.696
栄治,1.0,0.633
大久保,0.167,0.62
知宏,0.857,0.633
結菜,0.0,0.62
一磨,1.0,0.619
りょうすけ,1.0,0.632
れい,0.083,0.664
睦子,0.0,0.632
ユミ,0.0,0.649
みさと,0.143,0.632
池田,0.571,0.631
カレン,0.158,0.683
エミ,0.0,0.654
昭博,1.0,0.641
幸輝,1.0,0.631
西村,0.833,0.618
しょうた,1.0,0.631
典之,1.0,0.618
大島,0.571,0.63
由依,0.0,0.658
彩美,0.0,0.675
伊織,0.714,0.629
ロベルト,1.0,0.675
くみ,0.111,0.646
秀隆,0.833,0.639
やよい,0.0,0.638
勇希,1.0,0.629
五十嵐,0.667,0.629
佑紀,0.875,0.638
ファン,0.9,0.656
淳平,1.0,0.615
洋行,1.0,0.628
史織,0.0,0.615
夏実,0.0,0.614
敬之,0.929,0.668
まりな,0.0,0.655
江利子,0.0,0.627
弘明,0.818,0.679
拓己,1.0,0.613
ゆりか,0.0,0.67
奈穂,0.0,0.613
和正,1.0,0.643
たける,0.947,0.674
克之,1.0,0.625
北斗,1.0,0.649
宏司,1.0,0.612
梨乃,0.0,0.612
松尾,0.167,0.611
哲雄,1.0,0.665
ももこ,0.0,0.634
ブルーノ,1.0,0.659
みえ,0.0,0.669
るい,0.286,0.623
千賀子,0.0,0.61
郁代,0.0,0.623
伸二,1.0,0.61
きち,0.667,0.61
正洋,0.909,0.676
アイ,0.1,0.646
栄二,1.0,0.61
誠二,1.0,0.622
茉里奈,0.0,0.609
美貴子,0.0,0.631
知也,1.0,0.65
尚也,1.0,0.608
秀之,1.0,0.631
雄貴,1.0,0.621
芳弘,1.0,0.608
俊祐,1.0,0.621
智弘,1.0,0.677
敏夫,1.0,0.63
奈々子,0.0,0.62
一志,1.0,0.648
裕彦,1.0,0.607
美羽,0.083,0.655
マイ,0.25,0.655
とおる,1.0,0.647
泰樹,1.0,0.619
千津子,0.0,0.606
大好き,0.667,0.636
憲治,1.0,0.618
芽生,0.0,0.635
貴宏,1.0,0.635
えお,0.667,0.605
真弘,1.0,0.605
山中,0.5,0.627
大吾,1.0,0.617
治彦,1.0,0.604
藍子,0.0,0.604
やす,1.0,0.617
智香,0.0,0.604
尚美,0.083,0.648
ゆきお,0.875,0.633
光夫,1.0,0.633
良治,1.0,0.603
ちさと,0.0,0.616
沙希,0.0,0.616
耕一,0.875,0.625
瑠奈,0.0,0.615
まな,0.111,0.638
由里子,0.0,0.615
将大,1.0,0.602
拓斗,1.0,0.602
伸行,1.0,0.614
恭輔,0.966,0.673
千葉,0.625,0.623
敬介,1.0,0.601
横山,0.8,0.601
智志,1.0,0.641
弘貴,1.0,0.6
昇平,1.0,0.658
敬祐,1.0,0.613
よしひろ,1.0,0.613
辰雄,1.0,0.6
神谷,0.8,0.6
さとる,1.0,0.63
宏一,1.0,0.644
健史,1.0,0.599
大石,0.846,0.65
麻理,0.0,0.644
裕次,1.0,0.611
敏雄,0.952,0.665
洋美,0.0,0.598
秀治,0.389,0.658
鉄也,1.0,0.62
令子,0.0,0.62
香里,0.0,0.676
佳世,0.0,0.62
ともき,1.0,0.61
幸二,1.0,0.62
雅典,0.75,0.62
清人,1.0,0.61
だいすけ,1.0,0.597
裕人,1.0,0.619
芳樹,1.0,0.645
輝美,0.167,0.609
千代,0.182,0.637
勇治,1.0,0.632
正俊,1.0,0.641
美智恵,0.0,0.596
鈴子,0.0,0.609
万里,0.893,0.673
俊文,0.977,0.679
光明,0.965,0.679
佳音,0.109,0.671
青山,0.944,0.672
大海,0.943,0.675
俊雄,0.995,0.678
大成,1.0,0.671
正芳,0.542,0.663
成志,1.0,0.67
美雪,0.024,0.673
明生,0.982,0.67
一恵,0.0,0.587
浩一郎,1.0,0.587
進一,1.0,0.636
五郎,1.0,0.587
安里,0.5,0.601
雅和,0.667,0.626
ユウスケ,1.0,0.586
りく,1.0,0.601
文哉,1.0,0.601
浩輔,1.0,0.586
実優,0.0,0.611
梨恵,0.0,0.585
周治,0.857,0.611
博行,1.0,0.585
素子,0.0,0.634
幸美,0.0,0.647
昭二,1.0,0.585
啓輔,1.0,0.61
まりえ,0.0,0.599
知輝,1.0,0.584
伸吾,1.0,0.599
友則,1.0,0.584
幸平,0.857,0.61
飯田,0.545,0.633
康成,1.0,0.636
レイコ,0.0,0.599
昂平,1.0,0.599
竜次,1.0,0.583
麻実,0.0,0.609
片山,0.2,0.598
浩三,1.0,0.598
大塚,0.833,0.597
史弥,1.0,0.608
石川,0.833,0.608
沙樹,0.0,0.582
清孝,1.0,0.582
光雄,1.0,0.645
大夢,1.0,0.582
芳彦,1.0,0.597
とし子,0.0,0.581
知明,0.889,0.621
ななみ,0.0,0.634
かつみ,0.571,0.607
英一郎,1.0,0.581
美佐,0.056,0.646
信幸,1.0,0.606
ひろ子,0.0,0.581
孝治,1.0,0.595
幸也,0.8,0.58
まつ,1.0,0.58
優一,1.0,0.595
幹子,0.0,0.58
孝志,1.0,0.579
大喜,0.875,0.613
咲希,0.0,0.613
佐和子,0.0,0.594
悠貴,1.0,0.579
永井,0.25,0.579
愛香,0.0,0.624
理香,0.0,0.604
麻希,0.0,0.659
せいじ,1.0,0.579
セルジオ,1.0,0.64
日向子,0.0,0.578
将行,1.0,0.578
聖人,0.889,0.618
正文,0.933,0.659
いくみ,0.0,0.593
三四郎,1.0,0.577
一久,1.0,0.577
ああああ,1.0,0.592
隆治,1.0,0.602
アカウント,0.6,0.577
ともよ,0.0,0.61
美智,0.048,0.657
タダオ,1.0,0.576
昂大,1.0,0.576
けんたろう,1.0,0.591
晋作,1.0,0.576
政和,1.0,0.634
眞人,1.0,0.576
けいすけ,0.724,0.65
凌大,1.0,0.575
よしえ,0.167,0.59
光恵,0.0,0.575
ナオ,0.333,0.59
有香,0.0,0.627
えいこ,0.0,0.575
周子,0.25,0.608
ゆきな,0.0,0.608
慶悟,1.0,0.574
たかゆき,1.0,0.574
友梨,0.0,0.589
朋花,0.0,0.599
里穂,0.0,0.589
瑞季,0.1,0.619
カン,0.714,0.599
たいき,1.0,0.573
洋史,1.0,0.573
れん,0.8,0.573
尚之,1.0,0.573
ジェシカ,0.0,0.633
優奈,0.0,0.617
圭輔,0.833,0.624
恭介,0.962,0.645
佑亮,1.0,0.587
悠生,1.0,0.572
レオ,0.867,0.631
福島,0.8,0.571
ももか,0.0,0.586
かい,0.7,0.616
グルン,0.5,0.586
彰太,1.0,0.571
和仁,1.0,0.596
敬太,1.0,0.571
めい,0.25,0.61
修也,1.0,0.57
真希子,0.0,0.615
民子,0.0,0.585
みちよ,0.0,0.569
朗子,0.143,0.595
けんた,1.0,0.639
俊幸,1.0,0.584
絵里子,0.0,0.584
珠美,0.0,0.594
瑞枝,0.227,0.639
みつこ,0.0,0.568
よう,0.75,0.602
和貴,0.857,0.594
春佳,0.0,0.583
ナオミ,0.0,0.613
タカヒロ,1.0,0.582
毅彦,1.0,0.582
智紀,1.0,0.567
ヨウコ,0.0,0.582
浩和,0.8,0.612
穂波,0.0,0.567
正敏,0.727,0.615
光晴,1.0,0.566
正太郎,1.0,0.566
雄一朗,1.0,0.581
谷口,0.875,0.599
勝則,1.0,0.566
エル,0.167,0.591
正宏,1.0,0.642
裕喜,0.714,0.591
のん,0.2,0.58
敏江,0.375,0.598
三千代,0.0,0.565
昌之,1.0,0.598
宏二,1.0,0.564
りゅうじ,1.0,0.59
大森,0.8,0.609
古川,0.75,0.598
明広,1.0,0.564
隆明,1.0,0.621
タダシ,1.0,0.563
土井,0.4,0.563
裕大,1.0,0.589
友也,1.0,0.596
タクヤ,1.0,0.562
泰斗,1.0,0.562
千裕,0.5,0.577
三枝子,0.0,0.562
睦美,0.0,0.577
ゆたか,0.8,0.561
芽依,0.0,0.561
あいり,0.067,0.621
伸哉,1.0,0.601
史朗,1.0,0.561
たかこ,0.0,0.576
悠真,0.708,0.632
マリオ,1.0,0.629
貴光,1.0,0.594
サトシ,1.0,0.575
彩菜,0.0,0.575
たつき,0.833,0.575
孝介,1.0,0.56
大翔,1.0,0.615
優貴,0.933,0.619
愛莉,0.0,0.615
義昭,1.0,0.574
一弥,1.0,0.574
サユリ,0.0,0.559
僚太,1.0,0.559
駿平,0.833,0.574
裕香,0.0,0.573
タカ,0.833,0.573
知香,0.0,0.573
北村,0.75,0.558
正徳,1.0,0.558
正之,1.0,0.591
憲一郎,1.0,0.558
まさこ,0.0,0.591
昌史,1.0,0.583
りょ,1.0,0.557
将吾,1.0,0.557
亀井,0.6,0.557
なか,0.6,0.557
サンドラ,0.0,0.617
雄士,1.0,0.557
はら,0.6,0.571
かなた,1.0,0.556
隆太郎,1.0,0.571
義孝,0.875,0.59
りこ,0.0,0.62
中山,0.929,0.629
秀一郎,1.0,0.555
まさと,0.667,0.57
千紘,0.0,0.555
豊和,1.0,0.581
マル,0.6,0.58
悠馬,1.0,0.588
克則,1.0,0.58
麻由美,0.0,0.554
りょうた,0.917,0.606
正利,1.0,0.612
まいこ,0.0,0.554
文代,0.0,0.553
和徳,1.0,0.587
元希,0.857,0.579
美枝,0.0,0.634
田村,0.571,0.579
昭人,1.0,0.553
中田,0.6,0.598
岡崎,1.0,0.553
義男,1.0,0.592
康代,0.0,0.552
和典,1.0,0.552
靖志,1.0,0.577
美也子,0.0,0.552
秀彦,0.556,0.592
マミ,0.0,0.551
よう子,0.0,0.551
千鶴子,0.0,0.551
ゆうり,0.083,0.603
智貴,0.9,0.595
志帆,0.647,0.614
佳奈子,0.0,0.565
ちか,0.0,0.575
尚紀,1.0,0.549
裕紀,0.833,0.564
凌也,1.0,0.549
玉城,0.929,0.607
けい子,0.0,0.549
トモミ,0.0,0.564
紗織,0.0,0.574
奈津希,0.0,0.574
利光,1.0,0.616
明人,1.0,0.588
裕生,0.938,0.61
秀晃,1.0,0.562
ひなこ,0.0,0.573
しんや,1.0,0.592
康徳,1.0,0.547
雪子,0.0,0.586
かすみ,0.0,0.561
やすひろ,1.0,0.546
レイ,0.76,0.618
剛士,1.0,0.579
康史,1.0,0.56
久夫,1.0,0.545
結花,0.0,0.56
かよこ,0.0,0.56
敦士,1.0,0.579
亮二,1.0,0.57
耕太郎,1.0,0.559
莉沙,0.0,0.57
沙季,0.0,0.559
須藤,0.6,0.544
留美,0.0,0.569
もとき,0.8,0.544
則之,1.0,0.559
晃子,0.0,0.569
永遠,1.0,0.592
佳乃,0.0,0.583
哲男,1.0,0.603
芽衣,0.0,0.558
初江,0.0,0.542
佳史,1.0,0.542
順一郎,1.0,0.542
まさゆき,1.0,0.568
龍馬,1.0,0.557
岳史,1.0,0.542
おさむ,1.0,0.541
宏治,1.0,0.567
芙美,0.0,0.541
勝久,1.0,0.541
侑希,0.571,0.567
マコト,0.875,0.575
雄真,1.0,0.574
喜代子,0.0,0.541
明香,0.118,0.604
颯太,1.0,0.54
リュウ,1.0,0.585
恵里,0.0,0.555
修二,1.0,0.566
シルビア,0.0,0.573
明男,1.0,0.588
裕太郎,1.0,0.539
佑佳,0.286,0.565
マーク,1.0,0.607
雅信,0.714,0.565
誠人,1.0,0.553
絢子,0.0,0.553
汐里,0.0,0.538
博人,1.0,0.564
ゆり子,0.0,0.553
いずみ,0.222,0.578
真幸,0.6,0.537
将司,1.0,0.552
由佳子,0.0,0.537
恵輔,1.0,0.537
遼平,1.0,0.586
るな,0.0,0.537
良雄,1.0,0.552
幹雄,1.0,0.57
善彦,1.0,0.536
麻美子,0.0,0.551
果林,0.0,0.551
祐次,0.833,0.551
ペドロ,1.0,0.594
暢子,0.0,0.536
